titulo,empresa,data,link
Vendedora (o) Loja do Shopping Avenida Center,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461610/vendedora-o-loja-do-shopping-avenida-center/maringa/pr
Assistente Fiscal Tributário.,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461609/assistente-fiscal-tributario/maringa/pr
Recreacionista de Cães,Auau Resort ,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461606/recreacionista-de-caes/maringa/pr
Salgadeira,Doçula Tortas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461604/salgadeira/maringa/pr
Repositor de Flv - Loja Ney Braga,Amigão Supermercados,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461599/repositor-de-flv-loja-ney-braga/maringa/pr
Repositor de Mercearia - Loja Ney Braga,Amigão Supermercados,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461597/repositor-de-mercearia-loja-ney-braga/maringa/pr
Auxiliar de Vendas - Shopping Tarde,For Boys For Girls,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/256448/auxiliar-de-vendas-shopping-tarde/maringa/pr
Manicure e Pedicure,Studio Glamour,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461592/manicure-e-pedicure/maringa/pr
Engenheiro de Produção,Liber Glass Envidraçamentos,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461594/engenheiro-de-producao/maringa/pr
Consultor de Gestão Financeira e Compras,Farmacia Auto Gerenciavel,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/423298/consultor-de-gestao-financeira-e-compras/maringa/pr
Assistente de Dados Com Ênfase em Ti,Vancob Serviços,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/446068/assistente-de-dados-com-Enfase-em-ti/maringa/pr
Auxiliar Almoxarife / Atendimento,Pneus Guaraciaba,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461595/auxiliar-almoxarife-atendimento/maringa/pr
Pizzaiolo,Castelini Pizzaria ,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/363245/pizzaiolo/maringa/pr
